allRes.GO.ID	allRes.weight01_pval
GO:0020037	0.04805
GO:0004604	0.04891
GO:0004758	0.04891
GO:0042286	0.04891
GO:0004335	0.04891
GO:0051538	0.04891
GO:0008878	0.04891
GO:0048027	0.04891
GO:0005242	0.04891
GO:0001053	0.04891
GO:0004853	0.04891
GO:0004418	0.04891
GO:0004816	0.04891
GO:0004615	0.04891
GO:0008124	0.04891
GO:0051537	0.05252
GO:0004674	0.05407
GO:0008987	0.06468
GO:0004742	0.06468
GO:0005262	0.06468
GO:0003852	0.06468
GO:0004047	0.06468
GO:0004435	0.06468
GO:0003959	0.06468
GO:0004197	0.06838
GO:0005544	0.07332
GO:0005506	0.07469
GO:0004185	0.07756
GO:0046906	0.07777
GO:0032442	0.08019
GO:0031386	0.08019
GO:0050236	0.08019
GO:0019789	0.08019
GO:0003999	0.08019
GO:0032440	0.08688
GO:0003713	0.08801
GO:0008289	0.09127
GO:0009535	9.4e-14
GO:0010287	1.7e-08
GO:0009941	2.0e-08
GO:0048046	2.3e-08
GO:0009522	3.1e-07
GO:0009538	8.9e-07
GO:0009534	4.5e-06
GO:0005618	1.6e-05
GO:0009507	0.00015
GO:0031977	0.00031
GO:0009523	0.00055
GO:0009570	0.00094
GO:0009341	0.00117
GO:0030076	0.00126
GO:0030093	0.00126
GO:0000795	0.00270
GO:0009654	0.00365
GO:0005622	0.00407
GO:0019898	0.00702
GO:0009573	0.00838
GO:0005763	0.01398
GO:0031410	0.01644
GO:0017177	0.01723
GO:0005945	0.01723
GO:0005794	0.01986
GO:0005623	0.02183
GO:0009506	0.02442
GO:0016282	0.02867
GO:0005852	0.03300
GO:0005737	0.03650
GO:0033290	0.03757
GO:0034357	0.03764
GO:0009783	0.04097
GO:0009332	0.04097
GO:0080085	0.04097
GO:0005764	0.04736
GO:0005840	0.04811
GO:0005665	0.05257
GO:0045281	0.06069
GO:0000311	0.06083
GO:0070545	0.06083
GO:0017059	0.06083
GO:0031519	0.06083
GO:0017071	0.06083
GO:0009517	0.06083
GO:0009579	0.07150
GO:0042765	0.08027
GO:0022626	0.09337
GO:0044434	0.09916
GO:0030688	0.09931
GO:0010007	0.09931
GO:0005749	0.09931
GO:0043073	0.09931
GO:0005948	0.09931
GO:0031201	0.11367
GO:0005787	0.11796
GO:0005829	0.12385
GO:0042651	0.12685
GO:0009325	0.13623
GO:0042644	0.13623
GO:0005744	0.13623
GO:0009539	0.13623
GO:0031012	0.13623
GO:0005615	0.14868
GO:0005742	0.15411
GO:0045254	0.15411
GO:0010598	0.15411
GO:0019773	0.15411
GO:0070847	0.17163
GO:0030687	0.17163
GO:0005773	0.17497
GO:0022627	0.17803
GO:0009508	0.18879
GO:0016272	0.18879
GO:0031969	0.20300
GO:0016529	0.20559
GO:0005886	0.20911
GO:0030176	0.22158
GO:0005736	0.23816
GO:0005834	0.23816
GO:0005743	0.24538
GO:0042720	0.25394
GO:0000123	0.26954
GO:0031248	0.28392
GO:0016592	0.30798
GO:0005654	0.31316
GO:0019013	0.31562
GO:0009505	0.32547
GO:0070469	0.32819
GO:0005666	0.35564
GO:0005667	0.35835
GO:0009536	0.37357
GO:0005774	0.37461
GO:0031224	0.38567
GO:0045261	0.39488
GO:0000775	0.40742
GO:0010319	0.40742
GO:0005762	0.45505
GO:0000136	0.47741
GO:0005856	0.47910
