comp1_c0_seq1	GO:0009507, GO:0016020
comp70_c0_seq1	GO:0016157, GO:0005982, GO:0005985
comp71_c0_seq1	GO:0006559, GO:0006570, GO:0005737, GO:0045548, GO:0009800, GO:0009821
comp72_c0_seq1	GO:0016021
comp74_c0_seq1	GO:0003735, GO:0016021, GO:0042254, GO:0005840, GO:0006412
comp75_c0_seq1	GO:0008283, GO:0005634, GO:0003677, GO:0006605, GO:0046982, GO:0000786, GO:0006007
comp76_c0_seq1	
comp77_c0_seq1	GO:0010143, GO:0005506, GO:0016491, GO:0048653, GO:0016021, GO:0005783, GO:0055114, GO:0006633, GO:0043668, GO:0010025
comp78_c0_seq1	GO:0006950
comp79_c0_seq1	GO:0016787
comp80_c0_seq1	GO:0005515, GO:0005737
comp81_c0_seq1	
comp82_c0_seq1	GO:0080083, GO:0009341, GO:0047701, GO:0006012, GO:0005982, GO:0005985, GO:0004565, GO:0006027, GO:0006687, GO:0004338, GO:0046486, GO:0033907, GO:0031410
comp83_c0_seq1	GO:0005509, GO:0005783, GO:0051082, GO:0006457
comp86_c0_seq1	GO:0005634, GO:0003677, GO:0000786, GO:0006334
comp87_c0_seq1	GO:0005525, GO:0005737, GO:0003924, GO:0008152, GO:0005200, GO:0005874, GO:0007017
comp88_c0_seq1	GO:0005634, GO:0006334
comp89_c0_seq1	GO:0005975, GO:0004553
comp91_c0_seq1	GO:0042803, GO:0006529, GO:0006541, GO:0005829, GO:0006531, GO:0004066, GO:0006522
comp92_c0_seq1	GO:0015992, GO:0009651, GO:0009941, GO:0005794, GO:0009678, GO:0009414, GO:0009926, GO:0009705, GO:0004427, GO:0006119, GO:0048366, GO:0005739, GO:0016021, GO:0010248
comp93_c0_seq1	GO:0003677, GO:0000790, GO:0046982, GO:0006342, GO:0000786
comp95_c0_seq1	GO:0009651, GO:0007030, GO:0005774, GO:0009934, GO:0009414, GO:0005524, GO:0009507, GO:0006833, GO:0009408, GO:0009506, GO:0048046, GO:0010075, GO:0006094, GO:0006096, GO:0009644, GO:0051082, GO:0042542, GO:0006457, GO:0009306, GO:0005886, GO:0006499, GO:0006972, GO:0005634, GO:0005739, GO:0034976
comp97_c0_seq1	GO:0003735, GO:0022627, GO:0042254, GO:0006412
comp98_c0_seq1	GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp101_c0_seq1	GO:0003743, GO:0005524, GO:0010468, GO:0010501, GO:0005840, GO:0006446, GO:0004004
comp104_c0_seq1	GO:0008270, GO:0042803, GO:0009941, GO:0046777, GO:0006974, GO:0009637, GO:0042742, GO:0009228, GO:0009579, GO:0000023, GO:0019252, GO:0016491, GO:0043085, GO:0010319, GO:0018131, GO:0055114, GO:0010155
comp105_c0_seq1	GO:0009086, GO:0008705, GO:0008270, GO:0005829, GO:0005576, GO:0050667, GO:0003871, GO:0032259
comp108_c0_seq1	GO:0005840
comp109_c0_seq1	GO:0006094, GO:0009506, GO:0009651, GO:0000902, GO:0006096, GO:0019344, GO:0005829, GO:0009269, GO:0005794, GO:0005886, GO:0016049, GO:0048193
comp109_c2_seq1	GO:0097159, GO:1901363
comp111_c0_seq1	GO:0005515, GO:0003735, GO:0009793, GO:0042254, GO:0022625, GO:0005730, GO:0006412, GO:0016567
comp112_c0_seq1	
comp113_c0_seq1	GO:0003735, GO:0002181, GO:0042273, GO:0022625, GO:0000049
comp114_c1_seq1	GO:0015412, GO:0010152, GO:0005524, GO:0055085, GO:0008152, GO:0016021, GO:0010584, GO:0005886, GO:0015689
comp116_c0_seq1	GO:0006525, GO:0006560, GO:0008295, GO:0005829, GO:0006597, GO:0004014, GO:0006557
comp117_c0_seq1	
comp118_c0_seq1	GO:0006950, GO:0009415
comp119_c1_seq1	
comp121_c0_seq1	GO:0003677, GO:0005634
comp122_c0_seq1	GO:0004013, GO:0006730, GO:0006555
comp123_c0_seq1	GO:0003735, GO:0042254, GO:0005840, GO:0006412
comp124_c0_seq1	GO:0006869, GO:0010264, GO:0009651, GO:0000062, GO:0007030, GO:0006816, GO:0019344, GO:0005829, GO:0050826, GO:0031210, GO:0009646
comp128_c0_seq1	GO:0022626, GO:0003735, GO:0042254, GO:0006414
comp129_c0_seq1	GO:0005509, GO:0016021, GO:0005783, GO:0051082, GO:0006457
comp131_c0_seq1	GO:0003735, GO:0022625, GO:0000027, GO:0006412
comp132_c0_seq1	GO:0005525, GO:0005200, GO:0005874, GO:0007017
comp135_c0_seq1	GO:0006094, GO:0006020, GO:0005737, GO:0006098, GO:0006096, GO:0006013, GO:0006000, GO:0004332, GO:0015976
comp136_c0_seq1	GO:0003676, GO:0005524, GO:0031072, GO:0009408, GO:0008276, GO:0046872, GO:0051082, GO:0006457, GO:0006479
comp138_c0_seq1	GO:0005524, GO:0031072, GO:0009408, GO:0046872, GO:0051082, GO:0006457
comp139_c0_seq1	GO:0006833, GO:0009506, GO:0015254, GO:0015793, GO:0034220, GO:0016021, GO:0015250, GO:0005773, GO:0005886
comp141_c0_seq1	
comp143_c0_seq1	GO:0005634, GO:0003677, GO:0006605, GO:0046982, GO:0000786, GO:0006007
comp144_c0_seq1	
comp145_c0_seq1	GO:0009411, GO:0009813, GO:0050789
comp146_c0_seq1	
comp147_c0_seq1	GO:0008150, GO:0009062, GO:0003746, GO:0016020, GO:0016021, GO:0006414
comp150_c0_seq1	
comp152_c0_seq1	GO:0003735, GO:0042254, GO:0005840, GO:0019843, GO:0006412
comp153_c0_seq1	GO:0006833, GO:0009506, GO:0015254, GO:0015793, GO:0034220, GO:0016021, GO:0015250, GO:0005773, GO:0005886
comp155_c0_seq1	GO:0005789, GO:0016021
comp156_c0_seq1	GO:0004601, GO:0006979, GO:0006804, GO:0098869, GO:0055114, GO:0051920
comp157_c0_seq1	GO:0005524, GO:0046872, GO:0005829, GO:0006556, GO:0004478, GO:0006730, GO:0006555
comp159_c0_seq1	GO:0004601, GO:0009408, GO:0006804, GO:0009644, GO:0098869, GO:0005829, GO:0055114, GO:0042542, GO:0006457, GO:0020037
comp160_c0_seq1	GO:0005524
comp163_c0_seq1	GO:0046872, GO:0030001
comp164_c0_seq1	GO:0005634, GO:0003677, GO:0046982, GO:0000786, GO:0006334
comp165_c0_seq1	GO:0055085, GO:0005471, GO:0009941, GO:0042254, GO:0005840, GO:0005743, GO:0006412, GO:0009627, GO:0003735, GO:0016021, GO:0015867, GO:0015866, GO:0034976
comp166_c0_seq1	GO:0031177, GO:0006633
comp167_c0_seq1	
comp168_c0_seq1	GO:0005635, GO:0006606, GO:0005829, GO:0008565, GO:0008536, GO:0005886
comp171_c0_seq1	GO:0045486, GO:0046872, GO:0055114, GO:0009813
comp174_c0_seq1	GO:0042254, GO:0005840
comp176_c0_seq1	
comp178_c0_seq1	
comp180_c0_seq1	GO:0005506, GO:0080110, GO:0016021, GO:0055114, GO:0018685, GO:0006631, GO:0020037
comp181_c0_seq1	GO:0009573, GO:0046487, GO:0019253, GO:0009853, GO:0055114, GO:0004497, GO:0016984
comp182_c0_seq1	GO:0048364, GO:0009790, GO:0005634, GO:0009793, GO:0048367, GO:0006623, GO:0003674, GO:0005886, GO:0005622
comp183_c0_seq1	GO:0009295, GO:0008283, GO:0000819, GO:0006270, GO:0010583, GO:0000911, GO:0000712, GO:0006275, GO:0006265, GO:0006342, GO:0044774, GO:0005634, GO:0003677, GO:0005524, GO:0051225, GO:0006306, GO:0009909, GO:0016572, GO:0003918, GO:0051567
comp184_c0_seq1	GO:0005525, GO:0007264, GO:0015031, GO:0016021, GO:0005794
comp185_c0_seq1	GO:0016021, GO:0031410
comp186_c0_seq1	GO:0003735, GO:0002181, GO:0042254, GO:0022625
comp187_c0_seq1	GO:0003743, GO:0016021, GO:0005840, GO:0006446
comp188_c0_seq1	
comp188_c1_seq1	GO:0016491, GO:0055114
comp189_c0_seq1	GO:0042802, GO:0009611, GO:0009963, GO:0009555, GO:0005783, GO:0005794, GO:0005774, GO:0009505, GO:0005886, GO:0040007, GO:0009811, GO:0020037, GO:0009805, GO:0006558, GO:0009506, GO:0005506, GO:0009809, GO:0016021, GO:0055114, GO:0016710
comp190_c0_seq1	GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp191_c0_seq1	GO:0005739, GO:0009536
comp192_c0_seq1	GO:0005524, GO:0019243, GO:0015439, GO:0006007, GO:0015886
comp193_c0_seq1	GO:0008152, GO:0016787
comp194_c0_seq1	GO:0009506, GO:0019287, GO:0006552, GO:0006574, GO:0005829, GO:0006550, GO:0046950, GO:0004421
comp196_c0_seq1	GO:0009507, GO:0010264, GO:0001666, GO:0019252, GO:0019375, GO:0009501, GO:0004373, GO:0005985
comp197_c0_seq1	GO:0003735, GO:0042254, GO:0005840, GO:0006412
comp200_c0_seq1	GO:0009507, GO:0016747, GO:0010043, GO:0008152, GO:0005829, GO:0016787
comp201_c0_seq1	GO:0005524, GO:0005737, GO:0042026
comp202_c0_seq1	GO:0000166, GO:0003676
comp207_c0_seq1	GO:0015995, GO:0010162, GO:0005618, GO:0009740, GO:0005886
comp208_c0_seq1	GO:0003723, GO:0046872
comp210_c0_seq1	GO:0005524, GO:0003735, GO:0022627, GO:0005739, GO:0016021, GO:0042254, GO:0004672, GO:0030246, GO:0006468, GO:0006412
comp211_c0_seq1	GO:0003735, GO:0042254, GO:0015934, GO:0006412
comp213_c0_seq1	
comp214_c0_seq1	GO:0006803, GO:0009407, GO:0005737, GO:0006749, GO:0004364
comp217_c0_seq1	GO:0005524, GO:0008540, GO:0031597, GO:0031595, GO:0008233, GO:0017025, GO:0030433, GO:1901800, GO:0036402, GO:0045899
comp220_c0_seq1	GO:0005524
comp221_c0_seq1	GO:0003735, GO:0002181, GO:0042254, GO:0022625
comp222_c0_seq1	GO:0003676, GO:0090502, GO:0004526, GO:0008033, GO:0051252, GO:0016021, GO:0030677
comp224_c0_seq1	GO:0000166, GO:0003676, GO:0005634
comp225_c0_seq1	GO:0005524, GO:0032440, GO:0016021, GO:0055114
comp226_c0_seq1	GO:0005509, GO:0019722, GO:0005622
comp228_c0_seq1	GO:0005634, GO:0003677, GO:0046982, GO:0000786, GO:0006334
comp233_c0_seq1	GO:0005524, GO:0006281, GO:0061630, GO:0043161, GO:0031625, GO:0005737, GO:0000209, GO:0016574, GO:0016874
comp235_c0_seq1	GO:0051301, GO:0005524, GO:0008152, GO:0008568
comp237_c1_seq1	GO:0005739
comp239_c0_seq1	GO:0005525, GO:0016779, GO:0003746, GO:0004781, GO:0016740, GO:0006414, GO:0016787
comp241_c0_seq1	
comp243_c0_seq1	GO:0003735, GO:0042273, GO:0022625, GO:0006412
comp244_c0_seq1	GO:0008270, GO:0022626, GO:0015078, GO:0009853, GO:0005730, GO:0005774, GO:0080129, GO:0009535, GO:0006511, GO:0000276, GO:0005507, GO:0015986, GO:0016787, GO:0051788
comp245_c0_seq1	GO:0005515, GO:0046470, GO:0005509, GO:0016020, GO:0009395, GO:0004630, GO:0070290, GO:0006643
comp247_c0_seq1	GO:0009570, GO:0009097, GO:0015940, GO:0006094, GO:0042803, GO:0009651, GO:0006164, GO:0009099, GO:0006096, GO:0009098, GO:0009941, GO:0004455, GO:0000287, GO:0005507, GO:0005618, GO:0005739, GO:0048046, GO:0070402, GO:0055114
comp249_c0_seq1	GO:0006094, GO:0009266, GO:0007030, GO:0006096, GO:0003690, GO:0007623, GO:0006972, GO:0003697, GO:0000166, GO:0006406, GO:0005777, GO:0009507, GO:0006833, GO:0009506, GO:0010119, GO:0000380, GO:0032508, GO:0048046, GO:0010501, GO:0005829, GO:0003729, GO:0010228, GO:0016301
comp250_c0_seq1	GO:0055114, GO:0032442
comp252_c0_seq1	GO:0001101, GO:0004190, GO:0030163, GO:0006508, GO:0005576, GO:1901700
comp253_c0_seq1	GO:0000462, GO:0003735, GO:0022627, GO:0009165, GO:0016020, GO:0042991, GO:0006412
comp254_c0_seq1	GO:0003735, GO:0005739, GO:0042254, GO:0022625, GO:0006412
comp255_c0_seq1	GO:0003723, GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp256_c0_seq1	
comp258_c0_seq1	GO:0006833, GO:0009506, GO:0015254, GO:0015793, GO:0034220, GO:0016021, GO:0015250, GO:0005773
comp259_c0_seq1	GO:0016746, GO:0008152
comp264_c0_seq1	GO:0003735, GO:0016021, GO:0042254, GO:0005840, GO:0006412
comp265_c0_seq1	GO:0006118, GO:0009055, GO:0016021, GO:0031410, GO:0046658
comp266_c0_seq1	GO:0003735, GO:0042254, GO:0022625, GO:0070180, GO:0006412
comp267_c0_seq1	GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp269_c0_seq1	GO:0000287, GO:0004634, GO:0006094, GO:0009094, GO:0000162, GO:0006571, GO:0006096, GO:0000015
comp271_c0_seq1	
comp274_c0_seq1	GO:0009507
comp276_c0_seq1	GO:0016747, GO:0016021, GO:0005783, GO:0000038, GO:0006633, GO:0042335
comp277_c0_seq1	GO:0003735, GO:0022625, GO:0000027, GO:1902626, GO:0006412
comp280_c0_seq1	
comp282_c0_seq1	GO:0009536, GO:0006950
comp284_c0_seq1	GO:0019904
comp285_c0_seq1	GO:0052696, GO:0080043, GO:0043231, GO:0080044, GO:0009813
comp287_c0_seq1	GO:0006803, GO:0009407, GO:0005737, GO:0006749, GO:0004364
comp290_c0_seq1	GO:0005525, GO:0005737, GO:0003924, GO:0008152, GO:0005200, GO:0005874, GO:0007017
comp291_c0_seq1	GO:0003735, GO:0042254, GO:0005840, GO:0006412
comp293_c0_seq1	GO:0005488
comp295_c0_seq1	
comp297_c0_seq1	GO:0005509, GO:0016021, GO:0005783, GO:0051082, GO:0006457
comp298_c0_seq1	GO:0005515
comp299_c0_seq1	GO:0009570, GO:0022626, GO:0009793, GO:0009941, GO:0042026, GO:0009658, GO:0009579, GO:0005524, GO:0005739, GO:0016020, GO:0048046, GO:0048481, GO:0016226
comp302_c0_seq1	GO:0003723, GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp303_c0_seq1	GO:0009507, GO:0006118, GO:0046872, GO:0009055, GO:0022900, GO:0051537
comp304_c0_seq1	GO:0003735, GO:0002181, GO:0042254, GO:0022625
comp305_c0_seq1	GO:0005634, GO:0006308, GO:0003723, GO:0003735, GO:0006285, GO:0042254, GO:0015935, GO:0003684, GO:0008534, GO:0006412
comp307_c0_seq1	GO:0000166, GO:0003723, GO:0005737
comp308_c0_seq1	GO:0004869, GO:0010951, GO:0008233
comp309_c0_seq1	GO:0003735, GO:0016021, GO:0042254, GO:0005840, GO:0006412
comp311_c0_seq1	
comp312_c0_seq1	GO:0003735, GO:0016021, GO:0042254, GO:0022625, GO:0006412
comp314_c0_seq1	GO:0008150, GO:0016310, GO:0016301, GO:0003674
comp315_c0_seq1	GO:0006508, GO:0004185
comp316_c0_seq1	GO:0003735, GO:0042254, GO:0005840, GO:0006412
comp317_c0_seq1	GO:0003723, GO:0003735, GO:0005739, GO:0042254, GO:0022625, GO:0006412
comp318_c0_seq1	GO:0000463, GO:0003735, GO:0002181, GO:0022625, GO:0003723
comp320_c0_seq1	GO:0046872
comp322_c0_seq1	GO:0003676
comp323_c0_seq1	GO:0005524, GO:0051082, GO:0006457
comp324_c0_seq1	GO:0003735, GO:0042254, GO:0015935, GO:0019843, GO:0006412
comp325_c0_seq1	GO:0005525, GO:0006448, GO:0003746, GO:0003924, GO:0005840
comp326_c0_seq1	GO:0031640, GO:0050832
comp327_c0_seq1	GO:0003735, GO:0008097, GO:0022625, GO:0000027, GO:0006412
comp330_c0_seq1	GO:0016558, GO:0010286, GO:0042023, GO:0005622, GO:0005886, GO:0006301, GO:0080129, GO:0051510, GO:0004842, GO:0005524, GO:0006635, GO:0043161, GO:0009407, GO:0016874, GO:0048193, GO:0016567, GO:0051788
comp332_c0_seq1	GO:0006879, GO:0036455, GO:0044571, GO:0005759, GO:0008198, GO:0051539, GO:0097428, GO:0051537
comp333_c0_seq1	GO:0005524, GO:0006228, GO:0006206, GO:0009585, GO:0046872, GO:0006241, GO:0006183, GO:0006165, GO:0004550, GO:0006144
comp334_c0_seq1	GO:0008152, GO:0005200, GO:0046686, GO:0005886, GO:0005874, GO:0007017, GO:0005525, GO:0009506, GO:0045298, GO:0003924, GO:0005618, GO:0048046, GO:0005829, GO:0071258
comp335_c0_seq1	GO:0005975, GO:0031410, GO:0004553
comp337_c0_seq1	GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp338_c0_seq1	GO:0051213, GO:0055114
comp339_c0_seq1	GO:0005634, GO:0005737, GO:0006464, GO:0031386, GO:0000398
comp340_c0_seq1	GO:0006167, GO:0004001, GO:0006166, GO:0016310, GO:0006144
comp343_c0_seq1	GO:0018108, GO:0005515, GO:0004714, GO:0032440, GO:0007169, GO:0055114
comp344_c0_seq1	GO:0005789, GO:0003755, GO:0005528, GO:0061077, GO:0000413
comp345_c0_seq1	GO:0016757, GO:0008152, GO:0016021
comp346_c0_seq1	GO:0000275, GO:0005524, GO:0015991, GO:0015986, GO:0046933
comp347_c0_seq1	GO:0003735, GO:0022627, GO:0042274, GO:0006364, GO:0006412
comp349_c0_seq1	GO:0005634, GO:0005515, GO:0005737
comp350_c0_seq1	GO:0000166, GO:0003676
comp353_c0_seq1	GO:0019904
comp354_c0_seq1	GO:0046907, GO:0005622
comp356_c0_seq1	
comp357_c0_seq1	GO:0097159, GO:1901363
comp361_c0_seq1	GO:0030246, GO:0030245, GO:0005982, GO:0008810, GO:0005985
comp364_c0_seq1	GO:0005525, GO:0007264, GO:0015031, GO:0016021, GO:0005794, GO:0009536
comp365_c0_seq1	GO:0005515
comp366_c0_seq1	GO:0003723, GO:0030529, GO:0042254, GO:0005730
comp367_c0_seq1	GO:0016021, GO:0012505, GO:0020037
comp370_c0_seq1	GO:0003735, GO:0022627, GO:0000028, GO:0006412
comp371_c0_seq1	GO:0005524, GO:0003878, GO:0046872, GO:0006629, GO:0016829, GO:0005829, GO:0006099
comp373_c0_seq1	GO:0010363, GO:0009862, GO:0043069, GO:0006612, GO:0009867, GO:0005622, GO:0006499, GO:0000165, GO:0009409, GO:0009738, GO:0030968, GO:0050832, GO:0031348
comp374_c0_seq1	GO:0000166, GO:0003743, GO:0001731, GO:0016282, GO:0033290, GO:0031369, GO:0006446, GO:0005840, GO:0005852
comp375_c0_seq1	GO:0003735, GO:0005739, GO:0016021, GO:0042254, GO:0005840, GO:0006414
comp377_c0_seq1	GO:0016779, GO:0009058
comp379_c0_seq1	GO:0003677, GO:0008270, GO:0006355
comp380_c0_seq1	GO:0004802, GO:0006098, GO:0015976
comp383_c0_seq1	GO:0016788
comp386_c0_seq1	GO:0005524, GO:0004672, GO:0006468
comp389_c0_seq1	GO:0005524, GO:0046914, GO:1901671, GO:0005737, GO:0006457
comp390_c0_seq1	GO:0055072, GO:0008270, GO:0009853, GO:0000302, GO:0005886, GO:0080129, GO:0005753, GO:0046933, GO:0006511, GO:0009507, GO:0010039, GO:0015979, GO:0015986, GO:0050897, GO:0051788
comp391_c0_seq1	GO:0003735, GO:0042254, GO:0005840, GO:0006412
comp392_c0_seq1	GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp393_c0_seq1	GO:0005623, GO:0016491, GO:0050660, GO:0016021, GO:0045454, GO:0055114
comp394_c0_seq1	GO:0000166, GO:0003723, GO:0005737
comp396_c0_seq1	GO:0009570, GO:0006094, GO:0006096, GO:0046686, GO:0005774, GO:0005886, GO:0005634, GO:0005524, GO:0009506, GO:0046685, GO:0004618, GO:0048046, GO:0005829, GO:0015976, GO:0034976
comp397_c0_seq1	GO:0003735, GO:0002181, GO:0042254, GO:0022625
comp398_c0_seq1	GO:0005634
comp400_c0_seq1	GO:0009628
comp401_c0_seq1	GO:0006528, GO:0006531, GO:0004067, GO:0006522
comp403_c0_seq1	GO:0003735, GO:0022627, GO:0003729, GO:0000028, GO:0019843, GO:0006412
comp404_c0_seq1	GO:0005524, GO:0005739, GO:0042026
comp407_c0_seq1	GO:0009506, GO:0016021, GO:0005829, GO:0005886
comp408_c0_seq1	GO:0006508, GO:0004185
comp410_c0_seq1	GO:0008863, GO:0006564, GO:0009579, GO:0006544, GO:0006566, GO:0009326, GO:0009507, GO:0042183, GO:0051287, GO:0046487, GO:0005739, GO:0004617, GO:0015947, GO:0055114
comp411_c0_seq1	GO:0007275, GO:0009644, GO:1900101, GO:0042542, GO:0006457, GO:0042742, GO:0000136, GO:0044845, GO:0004169, GO:0000032, GO:0009408, GO:0009627, GO:0052033, GO:0050832, GO:0031502, GO:0035269
comp412_c0_seq1	GO:0000461, GO:0003735, GO:0022627, GO:0016021, GO:0031410, GO:0000447, GO:0006412
comp413_c0_seq1	GO:0016021
comp414_c0_seq1	GO:0016836, GO:0008152, GO:0031410
comp415_c0_seq1	GO:0006803, GO:0005515, GO:0005737, GO:0006749, GO:0004364
comp417_c0_seq1	GO:0003723, GO:0003735, GO:0042254, GO:0015935, GO:0006412
comp418_c0_seq1	GO:0000166, GO:0003676, GO:0005634, GO:0008270, GO:0005829, GO:0009631
comp419_c0_seq1	GO:0043170, GO:0097159, GO:1901363, GO:0003824, GO:0044238
comp420_c0_seq1	
comp421_c0_seq1	
comp423_c0_seq1	GO:0003743, GO:0045905, GO:0003746, GO:0043022, GO:0006452, GO:0005840, GO:0006446, GO:0010089, GO:0045901
comp425_c0_seq1	GO:0005777, GO:0016491, GO:0055114
comp426_c0_seq1	GO:0005515
comp427_c0_seq1	GO:0003735, GO:0022627, GO:0016020, GO:0003729, GO:0042254, GO:0006412
comp428_c0_seq1	GO:0010363, GO:0007030, GO:0009611, GO:0009963, GO:0042398, GO:0006612, GO:0006598, GO:0009805, GO:0006825, GO:0009507, GO:0006878, GO:0048046, GO:0006816, GO:0016531
comp430_c0_seq1	GO:0006636, GO:0045485, GO:0016717, GO:0016021, GO:0055114
comp431_c0_seq1	GO:0005975, GO:0004553
comp433_c0_seq1	GO:0016021, GO:0006810, GO:0005215
comp434_c0_seq1	GO:0005524, GO:0001510, GO:0003723, GO:0017151, GO:0010501, GO:0051604, GO:0005730, GO:0009536, GO:0004004
comp435_c0_seq1	GO:0001510, GO:0009507, GO:0009506, GO:0003735, GO:0016020, GO:0005794, GO:0022625, GO:0005730, GO:0019843, GO:0000027, GO:0005773, GO:0006412
comp436_c0_seq1	GO:0004190, GO:0030163, GO:0006508, GO:0006629
comp438_c0_seq1	GO:0005634, GO:0005515, GO:0006355
comp439_c0_seq1	GO:0006355
comp440_c0_seq1	GO:0016020
comp442_c0_seq1	
comp443_c0_seq1	GO:0004616, GO:0006098, GO:0055114, GO:0019521
comp444_c0_seq1	GO:0005515, GO:0043562, GO:0009744
comp445_c0_seq1	GO:0003723
comp448_c0_seq1	
comp452_c0_seq1	GO:0003735, GO:0002181, GO:0022625, GO:0000027
comp453_c0_seq1	GO:0010363, GO:0009266, GO:0007030, GO:0006096, GO:0004298, GO:0046686, GO:0005774, GO:0006972, GO:0080129, GO:0005634, GO:0006635, GO:0006833, GO:0043161, GO:0009407, GO:0005839, GO:0005829, GO:0051788
comp454_c0_seq1	
comp455_c0_seq1	GO:0005524, GO:0019538, GO:0005515
comp456_c0_seq1	GO:0003723, GO:0003735, GO:0042254, GO:0005840, GO:0006412
comp457_c0_seq1	GO:0006979, GO:0006804, GO:0098869, GO:0055114, GO:0019852, GO:0016688, GO:0020037
comp458_c0_seq1	GO:0003743, GO:0001731, GO:0005515, GO:0016282, GO:0005829, GO:0033290, GO:0006446, GO:0005840, GO:0005886, GO:0005852
comp459_c0_seq1	GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp461_c0_seq1	GO:0000166, GO:0000462, GO:0003735, GO:0022627, GO:0016021, GO:0006412
comp464_c0_seq1	GO:0000166, GO:0003676, GO:0015030, GO:0000245
comp466_c0_seq1	GO:0005509, GO:0016021, GO:0005783, GO:0051082, GO:0006457
comp467_c0_seq1	GO:0000166, GO:0003676
comp468_c0_seq1	GO:0016021
comp469_c0_seq1	GO:0009523, GO:0009941, GO:0009522, GO:0005794, GO:0009637, GO:0009768, GO:0009535, GO:0046872, GO:0010218, GO:0031409, GO:0016021, GO:0030076, GO:0018298, GO:0016168, GO:0010287, GO:0010114
comp471_c0_seq1	GO:0005887, GO:0005524, GO:0051453, GO:0006119, GO:0046872, GO:0043231, GO:1902600, GO:0008553, GO:0006754
comp472_c0_seq1	GO:0003743, GO:0005840, GO:0006446
comp473_c0_seq1	GO:0003735, GO:0042254, GO:0022625, GO:0006412
comp474_c0_seq1	GO:0005524, GO:0005856, GO:0005737
comp475_c0_seq1	GO:0006879, GO:0015994, GO:0009507, GO:0008199, GO:0006826, GO:0010039, GO:0015979, GO:0055114, GO:0004322, GO:0000302
comp476_c0_seq1	GO:0016021
comp478_c0_seq1	GO:0000166, GO:0003676, GO:0000398
comp479_c0_seq1	GO:0006094, GO:0009013, GO:0006570, GO:0006560, GO:0006096, GO:0006552, GO:0006574, GO:0006550, GO:0006699, GO:0006568, GO:0006554, GO:0006631, GO:0008886, GO:0004029, GO:0004777, GO:0046251, GO:0006525, GO:0006547, GO:0019260, GO:0046486, GO:0005737, GO:0019482, GO:0055114, GO:0019852
comp480_c0_seq1	GO:0008152, GO:0016853
comp481_c0_seq1	GO:0052541, GO:0016126, GO:0052546
comp483_c0_seq1	GO:0005515
comp484_c0_seq1	GO:0003735, GO:0002181, GO:0042254, GO:0022625
comp486_c0_seq1	GO:0000166, GO:0003676, GO:0030529, GO:0019013
