comp27_c0_seq1 K04079
comp12531_c0_seq1 K11347
comp12715_c0_seq1 K19036
comp12755_c0_seq1 K14802
comp12767_c0_seq1 K13545
comp12799_c0_seq1 K14411
comp13546_c0_seq1 K09286
comp13696_c0_seq1 K00279
comp14102_c0_seq1 K10571
comp14259_c0_seq1 K10956
comp14284_c0_seq1 K01802
comp14343_c0_seq1 K12271
comp14593_c0_seq1 K17906
comp14598_c0_seq1 K09419
comp14629_c0_seq1 K00873
comp15713_c0_seq1 K03183
comp15715_c0_seq1 K11805
comp15785_c0_seq1 K07735
comp16239_c0_seq1 K03549
comp16259_c0_seq1 K08901
comp16596_c0_seq1 K20891
comp17217_c0_seq1 K03093
comp17248_c0_seq1 K18999
comp17453_c0_seq1 K13667
comp17458_c0_seq1 K11430
comp17715_c0_seq1 K01724
comp17790_c0_seq1 K15111
comp18847_c0_seq1 K03544
comp19574_c0_seq1 K13071
comp19690_c0_seq1 K01537
comp20047_c0_seq1 K15402
comp21270_c0_seq1 K03500
comp22171_c0_seq1 K15281
comp22402_c0_seq1 K15402
comp22656_c0_seq1 K01785
comp23914_c0_seq1 K18156
comp26411_c0_seq1 K03655
comp26963_c0_seq1 K03797
comp27112_c0_seq1 K03094
comp27162_c0_seq1 K21596
comp27815_c0_seq1 K00001
comp30066_c0_seq1 K08486
comp30135_c0_seq1 K03517
comp31066_c0_seq1 K14709
comp32314_c0_seq1 K08741
comp32568_c0_seq1 K00924
comp32772_c0_seq1 K16865
comp34441_c0_seq1 K16055
comp40693_c0_seq1 K04728
comp42424_c0_seq1 K08235
comp44094_c0_seq1 K03327
comp44848_c0_seq1 K00850
comp49331_c0_seq1 K03935
comp60895_c0_seq1 K00850
comp61691_c0_seq1 K00799
comp99324_c0_seq1 K08235
