comp27_c0_seq1 K04079
comp4615_c0_seq1 AT4G39730
comp4665_c0_seq1 AT5G07120
comp4671_c0_seq1 K19035
comp4730_c0_seq1 K09588
comp4737_c0_seq1 K14753
comp4818_c0_seq1 AT4G00450
comp4820_c0_seq1 K01885
comp4848_c0_seq1 K05289
comp4851_c0_seq1 AT5G54380
comp4865_c0_seq1 AT4G38430
comp4940_c0_seq1 K08914
comp4957_c0_seq1 K06207
comp4979_c0_seq1 4327485
comp4990_c0_seq1 K08905
comp5046_c0_seq1 AT5G13800
comp5139_c0_seq1 4335747
comp5145_c0_seq1 K13448
comp5191_c0_seq1 K21989
comp5252_c0_seq1 AT3G49220
comp5324_c0_seq1 AT1G77460
comp5333_c0_seq1 K03100
comp5339_c0_seq1 K07936
comp5351_c0_seq1 K09875
comp5489_c0_seq1 K00128
comp5568_c0_seq1 K16297
comp5607_c0_seq1 AT3G63500
comp5737_c0_seq1 AT1G32230
comp5803_c0_seq1 AT5G40140
comp5837_c0_seq1 AT3G18470
comp5994_c0_seq1 4335371
comp6041_c0_seq1 AT1G76890
comp6047_c0_seq1 AT1G53730
comp6059_c0_seq1 SPCC23B6.04c
comp6063_c0_seq1 K00574
comp6066_c0_seq1 K06119
comp6134_c0_seq1 AT4G05200
comp6163_c0_seq1 K05391
comp6167_c0_seq1 18770577
comp6183_c0_seq1 4352734
comp6433_c0_seq1 K09338
comp6514_c0_seq1 AT1G07570
comp6580_c0_seq1 K11548
comp6610_c0_seq1 AT1G01430
comp6613_c0_seq1 K13473
comp6626_c0_seq1 K16297
comp6676_c0_seq1 AT2G28840
comp6694_c0_seq1 AT3G14110
comp6802_c0_seq1 K14509
comp6880_c0_seq1 9271427
comp6977_c0_seq1 4330769
comp7128_c0_seq1 9272591
comp7152_c0_seq1 AT4G12020
comp7231_c0_seq1 DDB_G0268860
comp7299_c0_seq1 4344548
comp7306_c0_seq1 543991
comp7363_c0_seq1 4339306
comp7391_c0_seq1 AT1G50420
comp7440_c0_seq1 AT1G42550
comp7506_c0_seq1 K16297
comp7562_c0_seq1 AT2G34160
comp7563_c0_seq1 K20889
comp7574_c0_seq1 AT2G03390
comp7611_c0_seq1 AT5G64410
comp7634_c0_seq1 K08819
comp7725_c0_seq1 AT1G77360
comp7787_c0_seq1 K16271
comp7797_c1_seq1 AT4G27430
comp7846_c0_seq1 K02717
comp7865_c0_seq1 K01190
comp7895_c0_seq1 AT2G20020
comp7903_c0_seq1 AT5G02850
comp7946_c0_seq1 K16055
comp7961_c0_seq1 K13600
comp8023_c0_seq1 AT5G59550
comp8045_c0_seq1 K09284
comp8227_c0_seq1 K02914
comp8240_c0_seq1 K01426
comp8263_c0_seq1 AT2G26490
comp8305_c0_seq1 K08286
comp8485_c0_seq1 K15400
comp8544_c0_seq1 K15920
comp8554_c0_seq1 AT5G37260
comp8586_c0_seq1 K01904
comp8651_c0_seq1 K15778
comp8658_c0_seq1 K01209
comp8708_c0_seq1 AT2G38410
comp8720_c0_seq1 AT3G17800
comp8758_c0_seq1 K10706
comp8797_c0_seq1 K21842
comp8849_c0_seq1 AT1G69040
comp8919_c0_seq1 K14508
comp8945_c0_seq1 AT5G05600
comp8974_c0_seq1 394784
comp8988_c0_seq1 4343649
comp8990_c0_seq1 AT5G13400
comp9188_c0_seq1 AT2G19130
comp9249_c0_seq1 AT2G03530
comp9254_c0_seq1 K05907
comp9290_c0_seq1 K10666
comp9313_c0_seq1 496361
comp9319_c0_seq1 AT5G62220
comp9344_c0_seq1 AT5G57180
comp9383_c0_seq1 AT3G15790
comp9461_c0_seq1 AT3G19850
comp9472_c0_seq1 K09519
comp9523_c0_seq1 K10577
comp9720_c0_seq1 446362
comp9721_c0_seq1 K10526
comp9742_c0_seq1 AT3G59140
comp9751_c0_seq1 AT4G00870
comp9828_c0_seq1 K09419
comp9916_c0_seq1 K00088
comp10010_c0_seq1 AT5G16370
comp10015_c0_seq1 K05714
comp10017_c0_seq1 POPTR_0008s05360g
comp10031_c0_seq1 YLR154C-G
comp10085_c0_seq1 K19042
comp10094_c0_seq1 K21844
comp10101_c0_seq1 AT1G62400
comp10172_c0_seq1 AT1G73080
comp10208_c0_seq1 K10576
comp10236_c0_seq1 K14432
comp10270_c0_seq1 K05658
comp10348_c0_seq1 K14686
comp10402_c0_seq1 AT2G24230
comp10448_c0_seq1 AT5G45560
comp10502_c0_seq1 4344566
comp10545_c0_seq1 AT1G14740
comp10603_c0_seq1 AGOS_ADR255W
comp10631_c0_seq1 AT3G54140
comp10931_c0_seq1 AT1G62760
comp10974_c0_seq1 AT3G56650
comp11007_c0_seq1 AT1G68290
comp11013_c0_seq1 AT3G18890
comp11049_c0_seq1 AT3G48880
comp11051_c0_seq1 AT5G23060
comp11085_c0_seq1 K08902
comp11151_c0_seq1 AT3G54090
comp11160_c0_seq1 4328241
comp11212_c0_seq1 AT2G31880
comp11299_c0_seq1 AT5G63860
comp11325_c0_seq1 AT3G55550
comp11394_c0_seq1 K00924
comp11444_c0_seq1 AT3G62700
comp11450_c0_seq1 K01728
comp11460_c0_seq1 K05387
comp11482_c0_seq1 AT5G41620
comp11515_c0_seq1 AT3G07340
comp11607_c0_seq1 K17496
comp11714_c0_seq1 29510
comp11756_c0_seq1 AT5G48460
comp11769_c0_seq1 AT4G21380
comp11776_c0_seq1 K19476
comp11838_c0_seq1 4327485
comp11842_c0_seq1 K14515
comp11849_c0_seq1 K11314
comp11867_c0_seq1 AT5G54830
comp11869_c0_seq1 AT2G03500
comp11874_c0_seq1 4335512
comp11887_c0_seq1 AT2G42220
comp11960_c0_seq1 K16055
comp12170_c0_seq1 AT3G21890
comp12222_c0_seq1 K01599
comp12353_c0_seq1 K13534
comp12524_c0_seq1 K14802
comp12531_c0_seq1 K11347
comp12560_c0_seq1 4327485
comp12715_c0_seq1 K19036
comp12755_c0_seq1 K14802
comp12767_c0_seq1 K13545
comp12799_c0_seq1 K14411
comp12906_c0_seq1 AT3G01480
comp12966_c0_seq1 AT5G43750
comp13007_c0_seq1 231712
comp13072_c0_seq1 AT1G32230
comp13284_c0_seq1 AT5G65700
comp13543_c0_seq1 AT2G42130
comp13546_c0_seq1 K09286
comp13696_c0_seq1 K00279
comp13703_c0_seq1 AT3G02100
comp14102_c0_seq1 K10571
comp14250_c0_seq1 AT5G36220
comp14259_c0_seq1 K10956
comp14284_c0_seq1 K01802
comp14343_c0_seq1 K12271
comp14395_c0_seq1 AT1G76890
comp14593_c0_seq1 K17906
comp14598_c0_seq1 K09419
comp14603_c0_seq1 AT5G48470
comp14614_c0_seq1 AT5G19855
comp14629_c0_seq1 K00873
comp14991_c0_seq1 107938348
comp15214_c0_seq1 4334234
comp15368_c0_seq1 AT3G49940
comp15394_c0_seq1 AT5G47530
comp15452_c0_seq1 AT1G24764
comp15713_c0_seq1 K03183
comp15715_c0_seq1 K11805
comp15785_c0_seq1 K07735
comp15849_c0_seq1 AT1G75140
comp16116_c0_seq1 AT5G15890
comp16239_c0_seq1 K03549
comp16259_c0_seq1 K08901
comp16321_c0_seq1 AT4G18700
comp16391_c0_seq1 446324
comp16596_c0_seq1 K20891
comp16643_c0_seq1 AT5G58960
comp16647_c0_seq1 AT3G21250
comp16688_c0_seq1 AT5G60850
comp16929_c0_seq1 AT1G53840
comp17081_c0_seq1 AT5G23370
comp17217_c0_seq1 K03093
comp17248_c0_seq1 K18999
comp17259_c0_seq1 AT4G31290
comp17446_c0_seq1 AT2G38640
comp17453_c0_seq1 K13667
comp17458_c0_seq1 K11430
comp17466_c0_seq1 AT4G26540
comp17503_c0_seq1 AT3G59400
comp17521_c0_seq1 AT3G21250
comp17715_c0_seq1 K01724
comp17790_c0_seq1 K15111
comp18271_c0_seq1 AT1G12760
comp18633_c0_seq1 AT1G67900
comp18847_c0_seq1 K03544
comp19189_c0_seq1 AT3G56400
comp19196_c0_seq1 AT4G13700
comp19569_c0_seq1 4352638
comp19574_c0_seq1 K13071
comp19690_c0_seq1 K01537
comp19994_c0_seq1 AT1G55480
comp20014_c0_seq1 AT3G17980
comp20020_c0_seq1 AT3G63210
comp20047_c0_seq1 K15402
comp20781_c0_seq1 AT1G42550
comp20964_c0_seq1 4330886
comp21088_c0_seq1 AT1G65520
comp21270_c0_seq1 K03500
comp21414_c0_seq1 AT1G25440
comp21828_c0_seq1 AT5G01610
comp22093_c0_seq1 AT1G31470
comp22171_c0_seq1 K15281
comp22240_c0_seq1 AT5G41410
comp22244_c0_seq1 AT4G26150
comp22402_c0_seq1 K15402
comp22656_c0_seq1 K01785
comp23799_c0_seq1 4324799
comp23914_c0_seq1 K18156
comp24027_c0_seq1 107922715
comp24533_c0_seq1 AT3G16250
comp25359_c0_seq1 4327485
comp26377_c0_seq1 AT5G57670
comp26411_c0_seq1 K03655
comp26870_c0_seq1 4339123
comp26963_c0_seq1 K03797
comp27112_c0_seq1 K03094
comp27162_c0_seq1 K21596
comp27218_c0_seq1 AT3G18150
comp27815_c0_seq1 K00001
comp28260_c0_seq1 AT5G13730
comp28843_c0_seq1 4337394
comp29516_c0_seq1 AT2G27610
comp30066_c0_seq1 K08486
comp30135_c0_seq1 K03517
comp30163_c0_seq1 AT1G25440
comp30815_c0_seq1 AT1G08070
comp31066_c0_seq1 K14709
comp32314_c0_seq1 K08741
comp32568_c0_seq1 K00924
comp32772_c0_seq1 K16865
comp33366_c0_seq1 AT5G09820
comp34441_c0_seq1 K16055
comp35130_c0_seq1 AT5G16420
comp35309_c0_seq1 AT3G08920
comp35312_c0_seq1 4323963
comp37002_c0_seq1 AT3G62420
comp37431_c0_seq1 AT5G67450
comp38709_c0_seq1 AT5G25220
comp40693_c0_seq1 K04728
comp41553_c0_seq1 AT4G26140
comp42424_c0_seq1 K08235
comp44094_c0_seq1 K03327
comp44848_c0_seq1 K00850
comp46191_c0_seq1 4328745
comp46276_c0_seq1 4342637
comp49331_c0_seq1 K03935
comp50127_c0_seq1 AT4G23890
comp52672_c0_seq1 AT5G07050
comp60895_c0_seq1 K00850
comp61691_c0_seq1 K00799
comp84714_c0_seq1 AT3G29000
comp86303_c0_seq1 AT3G20660
comp99324_c0_seq1 K08235
