GO.ID	Term	Annotated	Significant	Expected	weight01_pval	branch
GO:0008061	chitin binding	5	2	0.27	0.0259	MF
GO:0003910	DNA ligase (ATP) activity	5	2	0.27	0.0259	MF
GO:0010277	chlorophyllide a oxygenase [overall] act...	5	2	0.27	0.0259	MF
GO:0050660	flavin adenine dinucleotide binding	56	7	3.01	0.02648	MF
GO:0047134	protein-disulfide reductase activity	22	4	1.18	0.02793	MF
GO:0016705	oxidoreductase activity, acting on paire...	99	10	5.33	0.02886	MF
GO:0001053	plastid sigma factor activity	6	2	0.32	0.03748	MF
GO:0004674	protein serine/threonine kinase activity	452	32	24.31	0.04355	MF
GO:0030246	carbohydrate binding	112	10	6.02	0.04437	MF
GO:0009535	chloroplast thylakoid membrane	304	47	16.48	1.7e-08	CC
GO:0005618	cell wall	180	24	9.76	2.4e-06	CC
GO:0048046	apoplast	106	19	5.75	3.4e-06	CC
GO:0010287	plastoglobule	47	12	2.55	5.1e-06	CC
GO:0009522	photosystem I	43	16	2.33	1.3e-05	CC
GO:0009538	photosystem I reaction center	5	4	0.27	4.1e-05	CC
GO:0009523	photosystem II	62	16	3.36	0.00013	CC
GO:0009941	chloroplast envelope	351	33	19.03	0.00014	CC
GO:0000325	plant-type vacuole	79	9	4.28	0.00021	CC
GO:0009654	photosystem II oxygen evolving complex	17	5	0.92	0.00164	CC
GO:0000795	synaptonemal complex	6	3	0.33	0.0028	CC
GO:0009341	beta-galactosidase complex	6	3	0.33	0.0028	CC
GO:0098807	chloroplast thylakoid membrane protein c...	6	6	0.33	0.00288	CC
GO:0009517	PSII associated light-harvesting complex...	2	2	0.11	0.00293	CC
GO:0030093	chloroplast photosystem I	2	2	0.11	0.00293	CC
GO:0005576	extracellular region	350	39	18.97	0.00369	CC
GO:0009543	chloroplast thylakoid lumen	40	7	2.17	0.00515	CC
GO:0016021	integral component of membrane	2002	128	108.52	0.00868	CC
GO:0019898	extrinsic component of membrane	51	8	2.76	0.01936	CC
GO:0009574	preprophase band	5	2	0.27	0.02628	CC
GO:0009579	thylakoid	389	58	21.09	0.02932	CC
GO:0009570	chloroplast stroma	389	40	21.09	0.02969	CC
